MAP:Taxiways and Apron
AIRPORT:ORBI
FOLDER:Airport Layout
LAYER:-1
ACTIVE:1
COLOR:SMGCS_Background
COORDTYPE:OTHER:REGION
N033.15.34.951 E044.13.45.236
N033.15.34.949 E044.13.45.231
N033.15.32.185 E044.13.47.141
N033.15.31.877 E044.13.47.358
N033.15.31.676 E044.13.47.522
N033.15.31.454 E044.13.47.857
N033.15.31.344 E044.13.48.067
N033.15.31.264 E044.13.48.294
N033.15.31.237 E044.13.48.551
N033.15.31.228 E044.13.48.744
N033.15.31.245 E044.13.48.942
N033.15.31.286 E044.13.49.073
N033.15.32.385 E044.13.51.361
N033.15.27.549 E044.13.54.608
N033.15.27.362 E044.13.54.187
N033.15.22.657 E044.13.57.408
N033.15.23.652 E044.14.00.004
N033.15.19.917 E044.14.02.558
N033.15.18.339 E044.14.03.658
N033.15.18.051 E044.14.02.919
N033.15.17.693 E044.14.02.906
N033.15.14.739 E044.14.02.906
N033.15.14.670 E044.14.02.909
N033.15.14.560 E044.14.02.962
N033.15.14.516 E044.14.03.024
N033.15.14.492 E044.14.03.096
N033.15.14.450 E044.14.03.994
N033.15.14.439 E044.14.04.421
N033.15.14.448 E044.14.04.782
N033.15.14.461 E044.14.05.157
N033.15.14.497 E044.14.05.269
N033.15.14.555 E044.14.05.397
N033.15.14.552 E044.14.05.811
N033.15.14.368 E044.14.05.818
N033.15.13.964 E044.14.05.423
N033.15.12.768 E044.14.05.390
N033.15.12.554 E044.14.05.594
N033.15.12.551 E044.14.05.587
N033.15.11.684 E044.14.06.251
N033.15.11.712 E044.14.06.396
N033.15.11.976 E044.14.06.383
N033.15.11.893 E044.14.11.845
N033.15.10.137 E044.14.11.687
N033.15.07.751 E044.14.13.337
N033.15.07.691 E044.14.13.501
N033.15.07.630 E044.14.13.889
N033.15.07.581 E044.14.14.178
N033.15.07.565 E044.14.14.599
N033.15.08.301 E044.14.16.177
N033.15.03.230 E044.14.19.618
N033.15.02.991 E044.14.19.095
N033.15.02.771 E044.14.19.233
N033.15.02.475 E044.14.18.599
N033.15.02.043 E044.14.18.881
N033.15.01.614 E044.14.17.935
N033.14.59.328 E044.14.19.618
N033.14.57.162 E044.14.14.977
N033.15.05.402 E044.14.09.351
N033.15.05.468 E044.14.09.193
N033.15.05.555 E044.14.08.937
N033.15.05.671 E044.14.08.595
N033.15.05.698 E044.14.08.345
N033.15.05.682 E044.14.08.023
N033.15.05.638 E044.14.07.714
N033.15.04.330 E044.14.05.085
N033.15.06.336 E044.14.03.764
N033.15.08.499 E044.14.02.288
N033.15.08.634 E044.14.02.160
N033.15.08.711 E044.14.02.038
N033.15.08.763 E044.14.01.903
N033.15.08.801 E044.14.01.710
N033.15.08.782 E044.14.01.532
N033.15.09.098 E044.14.01.302
N033.15.09.112 E044.14.01.337
N033.15.09.194 E044.14.01.392
N033.15.09.256 E044.14.01.453
N033.15.09.369 E044.14.01.486
N033.15.09.523 E044.14.01.498
N033.15.09.626 E044.14.01.466
N033.15.09.744 E044.14.01.415
N033.15.09.853 E044.14.01.356
N033.15.10.538 E044.14.00.874
N033.15.10.575 E044.14.00.809
N033.15.10.608 E044.14.00.737
N033.15.10.652 E044.14.00.618
N033.15.10.674 E044.14.00.533
N033.15.10.691 E044.14.00.428
N033.15.10.691 E044.14.00.290
N033.15.10.410 E044.13.59.613
N033.15.11.702 E044.13.58.745
N033.15.11.889 E044.13.59.153
N033.15.12.213 E044.13.58.916
N033.15.12.389 E044.13.59.278
N033.15.13.783 E044.13.58.318
N033.15.14.736 E044.13.57.832
N033.15.14.846 E044.13.57.763
N033.15.14.904 E044.13.57.687
N033.15.15.014 E044.13.57.552
N033.15.15.085 E044.13.57.444
N033.15.15.143 E044.13.57.335
N033.15.15.192 E044.13.57.224
N033.15.15.217 E044.13.57.118
N033.15.15.234 E044.13.56.980
N033.15.15.220 E044.13.56.704
N033.15.13.192 E044.13.52.688
N033.15.12.433 E044.13.50.779
N033.15.12.321 E044.13.50.555
N033.15.12.233 E044.13.50.447
N033.15.12.021 E044.13.50.319
N033.15.11.425 E044.13.49.960
N033.15.11.172 E044.13.49.809
N033.15.11.062 E044.13.49.737
N033.15.10.957 E044.13.49.691
N033.15.10.735 E044.13.49.684
N033.15.10.551 E044.13.49.737
N033.15.10.438 E044.13.49.779
N033.15.10.264 E044.13.49.898
N033.15.01.595 E044.13.55.807
N033.14.40.289 E044.14.10.320
N033.14.37.216 E044.14.12.443
N033.14.36.914 E044.14.12.627
N033.14.36.644 E044.14.12.660
N033.14.36.452 E044.14.12.614
N033.14.36.012 E044.14.12.364
N033.14.35.468 E044.14.11.976
N033.14.35.083 E044.14.11.621
N033.14.34.605 E044.14.11.122
N033.14.34.050 E044.14.10.379
N033.14.33.676 E044.14.09.689
N033.14.33.560 E044.14.09.374
N033.14.33.516 E044.14.09.170
N033.14.33.538 E044.14.08.854
N033.14.33.581 E044.14.08.642
N033.14.33.561 E044.14.08.656
N033.14.33.609 E044.14.08.507
N033.14.33.621 E044.14.08.447
N033.14.33.630 E044.14.08.441
N033.14.33.676 E044.14.08.296
N033.14.34.225 E044.14.06.572
N033.14.34.305 E044.14.06.308
N033.14.34.370 E044.14.06.034
N033.14.34.404 E044.14.05.884
N033.14.34.400 E044.14.05.792
N033.14.34.397 E044.14.05.724
N033.14.34.370 E044.14.05.605
N033.14.34.336 E044.14.05.583
N033.14.32.810 E044.14.06.586
N033.14.31.841 E044.14.04.534
N033.14.33.390 E044.14.03.412
N033.14.26.959 E044.13.50.204
N033.14.26.650 E044.13.49.575
N033.14.26.539 E044.13.49.534
N033.14.26.400 E044.13.49.504
N033.14.26.314 E044.13.49.497
N033.14.26.190 E044.13.49.506
N033.14.26.087 E044.13.49.520
N033.14.25.942 E044.13.49.575
N033.14.24.851 E044.13.50.282
N033.14.24.809 E044.13.50.327
N033.14.24.676 E044.13.50.516
N033.14.24.540 E044.13.50.756
N033.14.24.432 E044.13.50.945
N033.14.24.346 E044.13.51.050
N033.14.24.206 E044.13.51.178
N033.14.24.084 E044.13.51.271
N033.14.23.915 E044.13.51.365
N033.14.23.733 E044.13.51.417
N033.14.23.444 E044.13.51.422
N033.14.23.281 E044.13.51.397
N033.14.23.186 E044.13.51.362
N033.14.23.030 E044.13.51.276
N033.14.22.883 E044.13.51.166
N033.14.22.757 E044.13.51.036
N033.14.22.639 E044.13.50.897
N033.14.22.530 E044.13.50.690
